NAMA OBAT,STOK,HARGA BELI,TOTAL
ACETYLCYSTEIN 200MG,115,1000,115000
AMBROXOL,153,215,32895
AMINEFRON,70,6500,455000
ASPILET 80MG,76,,    
ASPAR-K,100,,    
ALLOPURINOL 300MG,80,449,35920
AMOXICILLIN 500MG,83,,    
ANTALGIN 500MG,240,,    
AMIODARONE 200MG,8,,    
ALODAN 300MG,170,495,84150
ATORVASTATIN 20MG,193,567,109431
MEFENAMIC ACID 500MG,612,290,177480
ATORVASTATIN 10MG,67,441,29547
AZITHROMYCIN 500MG,24,,    
ACYCLOVIR 400MG,30,668,20040
AMLODIPINE 5MG,100,650,65000
ALODAN 100MG,210,255,53550
ASCARDIA 80 MG,100,,    
ALBENDAZOLE 400MG,100,656,65600
"BISOPROLOL 2,5MG",100,216,21600
BETAHISTIN 6MG,9,840,7560
BUSCOPAN,105,3279,344295
CATAFLAM 50MG,50,5991,299550
"CONCOR 1,25MG",190,3611,686090
CAPTOPRIL 50MG,196,,    
CAPTOPRIL 25MG,98,129,12642
"CAPTOPRIL 12,5MG",638,,    
CLOTAIRE 90MG,4,10000,40000
CLINDAMYCIN 300MG,244,,    
CLOTAIRE 60MG,25,10000,250000
CITICOLINE 500MG,118,5000,590000
CEFADROXIL 500MG,256,900,230400
"CLONIDINE 0,15MG",299,266,79534
CIPROFLOXACIN 500MG,77,,    
DICLOFENAC SODIUM 50MG,261,319,83259
"DEXAHARSEN 0,5MG",299,184,55016
"DEXAHARSEN 0,75MG",180,209,37620
DOXYCICLINE 500MG,61,,    
DIAMICRON 60MG,45,,    
DEPAKOTE 250MG,52,10655,554060
DEXTAMINE,129,1815,234135
DOMPERIDONE 10MG,252,195,49140
"DIGOXIN 0,25MG",374,140,52360
D-ARTEP,92,8800,809600
EUTHYROX 100MG,121,3065,370865
EPERISONE 50MG,50,,    
EXFORGE 10/160MG,8,12956,103648
ERDOSTEIN 300MG,10,2997,29970
ERICFIL 100MG,2,65000,130000
FUROSEMIDE 40MG,965,222,214230
FENITOIN 100MG,0,,    
EXFORGE 5/80MG,58,12260,711080
FARSORBIDE 10MG,95,,    
FENOPI 160MG,60,1000,60000
FARSORBIDE 5MG,200,350,70000
FESTARIC 40MG,20,4400,88000
FG TROCHES,62,,    
GABAPENTIN 100MG,442,1181,522002
GLIBENCLAMIDE 5MG,780,160,124800
GLIMEPIRIDE 1MG,61,,    
GLIMEPIRIDE 3MG,20,1400,28000
HI-D1000,9,,    
HIDROCLOROTHIAZIDE 25MG,946,882,834372
HARNAL OCAS 400MCG,80,,    
ISDN 5MG,192,,    
KENDARON 200MG,1,5390,5390
KETOCONAZOLE 200MG,43,,    
LISINOPRIL 5MG,50,,    
KUTOIN 100MG,200,1415,283000
KSR 600MG,110,,    
LOPERAMIDE 2MG,15,,    
LODIA 2MG,90,1123,101070
LIPITOR 20MG,20,19775,395500
LORATADINE 10 MG,30,,    
LANZOPRASOL 30MG,50,,    
METRONIDAZOLE 500MG,60,270,16200
"METHYLERGOMETRIN 0,125MG",100,,    
METHYLPREDNISOLONE 8MG,90,,    
MECOBALAMIN 500MG,295,800,236000
MELOXICAM 15MG,33,,    
"MELOXICAM 7,5MG",84,,    
METAMIZOLE SODIUM 500MG,40,,    
MEGABAL 500MG,60,1872,112320
MEFINAL 500MG,70,1472,103040
METFORMIN 850MG,80,467,37360
METFORMIN 500MG,1770,250,442500
METHYLPREDNISOLONE 16MG,70,,    
INDAPAMIDE,30,,    
ONDANSETRONE 4MG,30,1400,42000
OPISTAN 500MG,120,,    
NIFEDIPINE 10MG,70,216,15120
METHYLPREDNISOLONE 4MG,80,450,36000
NORELUT 5MG,47,5000,235000
NEURALGIN,87,1000,87000
OMEPRAZOLE 20MG,1,425,425
PREGABALIN 75MG,80,5000,400000
PROVE D3 5000,20,2666,53320
ISIVAS 10MG,27,6500,175500
PONSTAN 500MG,87,2688,233856
PHYTOMENADIONE 10MG,100,1200,120000
PREDNISONE 5MG,70,,    
PIROXICAM 20MG,40,,    
PIROXICAM 10MG ,106,,    
PREGABALIN 150MG,350,9000,3150000
PTU 100MG,28,486,13608
PROSTACOM 5MG,67,,    
PROPRANOLOL 40MG,324,133,43092
PRIMAQUINE 15MG,282,730,205860
PROPRANOLOL 10MG,150,75,11250
